Designator,Layer,Mid X,Mid Y,Rotation
D48_01_00,Top,67.9958mm,107.005mm,180
D49_01_00,Top,67.9958mm,102.99179999999998mm,180
D50_01_00,Top,67.9958mm,99.00399999999999mm,180
D51_01_00,Top,75.9968mm,102.99179999999998mm,180
D52_01_00,Top,75.9968mm,99.00399999999999mm,180
D53_01_00,Top,80.00999999999999mm,102.99179999999998mm,180
D54_01_00,Top,80.00999999999999mm,99.00399999999999mm,180
D55_01_00,Top,72.99959999999999mm,115.6918mm,270
D56_01_00,Top,70.00240000000001mm,115.6918mm,270
D57_01_00,Top,75.9968mm,115.6918mm,270
D61_01_00,Top,62.992mm,88.9964mm,270
D62_01_00,Top,64.9986mm,88.9964mm,270
D63_01_00,Top,67.00519999999999mm,88.9964mm,270
D64_01_00,Top,69.0118mm,88.9964mm,270
D65_01_00,Top,70.993mm,88.9964mm,270
D66_01_00,Top,72.99959999999999mm,88.9964mm,270
D67_01_00,Top,75.0062mm,88.9964mm,270
D68_01_00,Top,76.9874mm,88.9964mm,270
D69_01_00,Top,78.99399999999999mm,88.9964mm,270
D71_01_00,Top,55.498999999999995mm,80.0048mm,90
D72_01_00,Top,58.496199999999995mm,80.0048mm,90
D73_01_00,Top,61.493399999999994mm,80.0048mm,90
D74_01_00,Top,64.4906mm,80.0048mm,90
D75_01_00,Top,67.4878mm,80.0048mm,90
D76_01_00,Top,70.5104mm,80.0048mm,90
D77_01_00,Top,73.50759999999998mm,80.0048mm,90
D78_01_00,Top,76.5048mm,80.0048mm,90
D79_01_00,Top,79.502mm,80.0048mm,90
D81_01_00,Top,67.00519999999999mm,115.6918mm,270
D82_01_00,Top,52.50179999999999mm,80.0048mm,90
D83_01_00,Top,81.00059999999999mm,88.9964mm,270
D84_01_00,Top,51.0032mm,88.9964mm,270
D85_01_00,Top,53.00979999999999mm,88.9964mm,270
D86_01_00,Top,54.991mm,88.9964mm,270
D87_01_00,Top,56.997600000000006mm,88.9964mm,270
D88_01_00,Top,59.0042mm,88.9964mm,270
D89_01_00,Top,61.01079999999999mm,88.9964mm,270
FILTER_SW_01_00,Top,80.00999999999999mm,115.6918mm,0
PWR_SW_01_00,Top,81.2038mm,71.2926mm,180
